id,question,choice_1,answer_1,choice_2,answer_2,choice_3,answer_3,choice_4,answer_4,choice_5,answer_5,media_exist,media_name,description
317,Haydovchi harakat tezligini tanlashda nimani hisobga olishi kerak?,"Harakatning serqatnovligini, transport vositasi va yukning xususiyati va holatini",False,Yo'l va ob-havo sharoitini,False,Barcha sanab o'tilgan omillarni,True,,,,,False,1,"YHQ 11-bobi 77-bandiga asosan, haydovchi harakatning serqatnovligini, transport vositasi va yukning xususiyati hamda holatini, yo'l va ob-havo sharoitini, shuningdek, harakatlanish yo'nalishdagi koʻrinishni hisobga olgan holda transport vositasini belgilangan tezlikdan oshirmasdan boshqarishi kerak."
318,Avtomobil haydovchisi quvib oʻtishni qaysi yo'nalish bo'yicha to'g'ri bajaradi?,«A» yo'nalishi bo'yicha,False,«B» yo'nalishi bo'yicha,True,«A» va «B» yo'nalishi bo'yicha,False,,,,,True,318,"YHQ 12-bobi 86-bandi 2-xatboshiga asosan, quvib o'tish quyidagi hollarda taqiqlanadi: tartibga solinmaydigan chorrahalarda asosiy hisoblanmaydigan yoʻllarda harakatlanishda (aylanma harakatlanishli chorrahalarda quvib o'tish, kajavasiz ikki g'ildirakli transport vositalarini quvib o'tish va ruxsat etilgan hollarda o'ng tomondan quvib o'tish bundan mustasno)."
319,Haydovchi avtopoyezd harakatining eng keng bo'lagini aniqlashda nimani hisobga olishi kerak?,Faqat kengligi bo'yicha avtopoyezdning o'lchamlarini,False,"Kengligi bo'yicha transport vositasining oʻlchamlarini, shuningdek, tirkamaning chayqalishini hamda uning burilish markaziga siljishini",True,,,,,,,False,1,"Yakka avtomobil boshqarishning barcha uslublari avtopoyezd uchun qo'llanilishi mumkin, biroq uning katta vazni va gabaritlari (tashqi o'lchami) bois bir qator xossalar bor. Avtopoyezd - bu bitta yarim tirkama yohud bir yoki bir necha tirkamali shatakchi transport vositasidir. Harakat vaqtida tirkama doim shatakchi avtomobilning harakat yo'lidan chetga siljib turadi va quvib o'tish hamda qarama-qarshi yo'nalishdagi harakat uchun xavf-xatar tug'diradi. Avtopoyezdning manyovr qilishi yakka avtomobilga nisbatan yomonroq. Burilish vaqtida avtopoyezd burilish markazi tomon siljiydi va avtopoyezd harakat bo'lagi kengayishini haydovchi inobatga olish lozim."
320,Yengil avtomobillarning oldingi oʻrindig'ida bolalarni tashishga ruxsat etiladimi?,7 yoshdan kichiq boʻlmagan bolalarni tashishga ruxsat etiladi,False,12 yosh va undan katta bo'lgan bolalarni tashishga ruxsat etiladi,True,Katta yoshli yo'lovchi bo'lganda yoshidan qat'i nazar ruxsat etiladi,False,,,,,False,1,"YHQ 26-bobi 159-bandi 4-xatboshiga asosan, odamlarni tashish quyidagi hollarda taqiqlanadi: 12 yoshga to'lmagan bolalarni mototsiklning orqa o'rindig'ida, shuningdek, yengil avtomobilga bolalarni ushlab turuvchi maxsus qurilma o'rnatilmagan bo'lsa, uning oldingi o'rindig'ida olib yurish taqiqlanadi."
321,"Yo'lovchilarga haydovchi transport vositasini boshqarayotganda, uni chalg'itishga ruxsat etiladimi?",Ruxsat etiladi,False,Belgilangan yo'nalishdagi transport vositalarida faqat bir martalik chiptalar sotib olish uchun ruxsat etiladi,False,Taqiqlanadi,True,,,,,False,1,"YHQ 5-bobi 24-bandi 1-xatboshiga asosan, yo'lovchilarga transport vositasi harakatlanayotgan vaqtda haydovchini boshqarishdan chalg'itish va unga halaqit berish taqiqlanadi"
322,Qaysi transport vositalariga ushbu belgining amal qilishi tatbiq etilmaydi?,Yo'nalishli taksilarga,False,Taksometri ishlab turgan taksilarga,False,«Nogiron» taniqlik belgisi o'rnatilgan nogiron boshqarayotgan avtomobilga,False,Belgilangan yo'nalishdagi transport vositalariga,False,Ikkinchi va uchinchi javoblarda ko'rsatilgan transport vositalariga,True,True,322,"YHQ 1-ilovasining 3-boʻlimi 3.28 belgi talabiga asosan, «To'xtab turish taqiqlangan barcha transport vositalarining to'xtab turishlarini taqiqlaydi (taksometri ishlab turgan taksi, nogiron haydovchilar boshqarayotgan avtomobil va motokolyaska bundan mustasno)."
323,Haydovchilardan qay biri yo'lovchilarni tushirish uchun to'g'ri to'xtadi?,Ko'k va qizil avtomobillarning haydovchilari,False,Mototsikl va ko'k avtomobil haydovchilari,True,Faqat koʻk avtomobil haydovchisi,False,Barcha haydovchilar,False,,,True,323,"YHQ 2-ilovasining 1-boʻlimidagi 1.4 chizig'i yoʻlning harakatlanish qismi chetiga yoki yo'l chetidagi to'siqqa (bordyurga) chizilgan sariq chiziq transport vositalrining to'xtashini taqiqlaydi. 1.10 chizig'i: Yo'lning harakatlanish qismi chetiga yoki yo'l chetidagi to'siq (bordyur) ustidan chizilgan sariq chiziq to'xtab turishni taqiqlaydi. 1.17 chizig'i: Sariq rangdagi, arrasimon chiziq belgilangan yo'nalishli transport vositalari hamda taksilarning to'xtab turish joyini bildiradi. 13-bob 91-bandiga asosan, quyidagi joylarda to'xtash taqiqlanadi: bekat maydonchalariga, ular bo'lmaganda esa harakatga halaqit beradigan bo'lsa, belgilangan yo'nalishdagi transport vositalari yoki taksining to'xtash joyi ko'rsatkichlariga 15 metr qolganda."
324,Enli uzuq-uzuq chiziq ko'rinishidagi yotiq chiziq nimani bildiradi?,Qatnov qismi bilan yo'l yoqasi o'rtasidagi chegarani,False,Tezlanish yoki sekinlanish bo'lagi bilan qatnov qismi asosiy bo'lagi o'rtasidagi chegarani,True,Transport vositalarining to'xtashi va to'xtab turishi uchun belgilangan maydonchalarni,False,,,,,True,324,YHQ 2-ilovasining 1-boʻlimi 1.8 chizig'i enli uzuq-uzuq chiziq tezlanish yoki sekinlanish bo'lagi bilan yo'l qatnov qismining asosiy bo'lagi o'rtasidagi chegarani bildiradi.
325,Qaysi transport vositasining haydovchisi birinchi navbatda harakatlanish huquqiga ega?,Avtomobil haydovchisi,False,Mototsikl haydovchisi,True,,,,,,,True,325,"YHQ 16-bobi 105-bandiga asosan, teng ahamiyatga ega bo'lgan yoʻllar kesishgan chorrahada relssiz transport vositasining haydovchisi o'ngdan kelayotgan transport vositalariga yo'l berishi shart. Bu qoidaga tramvay haydovchilari ham oʻzaro amal qilishlari kerak. Bunday chorrahalarda, keyingi harakat yo'nalishidan qat'i nazar, tramvay relssiz transport vositalariga nisbatan oldin o'tish huquqiga ega bo'ladi"
326,Bunday vaziyatda qizil avtomobilning haydovchisiga quvib o'tish ruxsat etiladimi?,Ruxsat etiladi,False,Taqiqlandi,True,Faqat ro'paradan kelayotgan transport vositalari yo'qligida ruxsat etiladi,False,,,,,True,326,"YHQ 10-bobi 66-bandiga asosan, harakat ikki tomonlama bo'lgan uchta bo'lakli (1.9 chizig'i bilan belgilangandan tashqari) yo'llarda o'rta bo'lakka faqat quvib oʻtish, chapga burilish, qayrilib olish va aylanib o'tish uchungina chiqishga ruxsat etiladi. Qarama-qarshi yo'nalishdagi harakatlanish uchun mo'ljallangan chetki chap bo'lakka chiqish taqiqlanadi."
327,Siz reversiv harakatli yo'lga burilmoqchisiz. Burilishdan keyin Siz qaysi boʻlak bo'ylab harakatlanish huquqiga egasiz?,Aholi punktlarida istalgan bo'lak bo'ylab harakatlanishga ruxsat etiladi,False,Chetki o'ng bo'lak bo'ylab faqat reversiv svetofor yoki boshqa bo'laklar bo'yicha ham harakatlanishga ruxsat etadigan «Bo'laklar bo'yicha harakatlanish yo'nalishi» belgisidan o'tgandan so'ng qayta tizilishga ruxsat etiladi,True,Aholi punktidan tashqarida qatnov qismining iloji boricha o'ng chetiga yaqinroqda,False,,,,,False,1,"YHQ 10-bobi 72-bandiga asosan, reversiv harakatlanishli yo'lga burilishda transport vositalari qatnov qismlari kesishmasidan chiqishda chetki o'ng bo'lakni egallashi kerak. Haydovchiga shu yo'nalishdagi boshqa bo'laklarda ham harakatlanishga ruxsat berilganligiga ishonch hosil qilgandan keyingina qayta tizilishga ruxsat etiladi."
328,Qanday hollarda to'xtab turish taqiqlanadi?,Qatnov qismi kesishmasining chekkasidan 10 metrdan kam qolganda,False,Piyodalarning o'tish joyi oldidan 10 metrdan kam qolganda,False,Piyodalar o'tish joyidan keyin bir metr masofa uzoqlikda,False,Transport vositalarining harakatlanishiga imkon qoldirmaydigan kirishga yoki chiqishga va piyodalarning harakatiga xalaqit beradigan joylarda,True,Sanab o'tilgan barcha hollarda,False,False,1,"YHQ 13-bobi 91-bandi 10-xatboshiga asosan, quyidagi joylarda to'xtash taqiqlanadi: transport vositasi svetofor ishoralari, yo'l belgilarini boshqa haydovchilardan to'sib qo'yadigan yoki boshqa transport vositalarining harakatlanishiga (kirish va chiqishga) imkon qoldirmaydigan va piyodalarning harakatiga xalaqit beradigan joylarda"
329,Haydovchi avtopoyezdni tormozlashning qaysi qoidalariga rioya qilishi kerak?,Tormoz tepksini keskin kuchli bosish – ulagichni ajratgan holda,False,"Oldindan tezlikni kamaytirib, ulagichni ajratmay, bir tekis tormozlash",True,,,,,,,False,1,"Oʻzining tormoz tizimi mavjud bo'lmagan tirkamani ulash vaqtida ulangan transport vositalarining umumiy vazni kattalashgani bois avtomobilning tormoz yo'li ortadi. Avtopoyezdni faqat yo'lning to'g'ri uchastkalarda to'xtatish mumkin, bunda uning toʻliq vazni bir chiziqda bo'lishi kerak. Aylana yo'lda shatakchi avtomobilning ag'darilishi, yo'l chetidagi ariqqa chiqib ketishi yoki shatakchi moslamaning ishdan chiqishiga olib keluvchi tirkamaning surilib ketishi yoki avtopoyezdning buklanishi yuzaga kelishi mumkin."
330,Yon kajavasi boʻlmagan mototsiklda bolalarni tashishga ruxsat etiladimi?,Ruxsat etiladi,False,12 yoshdan katta bolalarga ruxsat etiladi,True,Katta yoshdagi yo'lovchi bo'lganda ruxsat etiladi,False,Taqiqlanadi,False,,,False,1,"YHQ 26-bobi 159-bandi 4-xatboshiga asosan, odamlarni tashish quyidagi hollarda taqiqlanadi: 12 yoshga toʻlmagan bolalarni mototsiklning orqa o'rindig'ida, shuningdek, yengil avtomobilga bolalarni ushlab turuvchi maxsus qurilma o'rnatilmagan bo'lsa, uning oldingi o'rindig'ida."
331,Bu yotiq chiziq nimani anglatadi?,Transport vositalari oqimi qo'shiladigan joylardagi yo'naltiruvchi orolchani,False,Qatnov qismidagi xavfli joylarda piyodalar uchun orolchani,False,Transport vositalari to'xtab turish qatnov chegarasini,False,Transport vositalari oqimi ajraladigan joydagi yo'naltiruvchi orolchani,True,,,True,331,YHQ 2-ilovasining 1-bo'limidagi 16.3 chizig'i transport oqimlarini qo'shiladigan joylarida yo'naltiruvchi orolchalarni bildiradi.
332,Chorrahada qaysi yo'nalishlarda harakat qilish ruxsat etiladi?,Faqat «G» va «Ye>>,True,"A, B, G, D",False,"B, V, G, D",False,,,,,True,332,"YHQ 1-ilovasining 5-boʻlimidagi 5.8.1 «Bo'laklar bo'yicha harakatlanish yo'nalishi» belgisi bo'laklar soni va har biri bo'lak bo'yicha ruxsat etilgan harakatlanish yo'nalishini ko'rsatadi. Yo'lning chetki chap bo'lagidan burilishga ruxsat beruvchi 5.8.1 belgisi shu bo'lakdan qayrilishga ham ruxsat beradi. Chorrahadan oldin o'rnatilgan 5.8.1 belgisining ta'siri, agar shu turkumdagi boshqa belgilar oʻrnatilmagan bo'lsa, butun chorrahaga tatbiq etiladi."
333,Qatnov qismi o'ng bo'lagi bo'ylab harakatlanishga qaysi transport vositasiga ruxsat etilgan?,Barcha mexanik transport vositalariga,False,Belgilangan yo'nalishdagi transport vositalariga va taksilarga,False,Faqat velosipedlarga,False,Faqat belgilangan yoʻnalishdagi transport vositalariga,True,,,True,333,YHQ 2-ilovasining 1-bo'limidagi 1.23 chizig'i belgilangan yo'nalishdagi transport vositalarining harakati uchun mo'ljallangan boʻlakni bildiradi.
334,Transport vositalari chorrahani quyidagi tartibda kesib oʻtadilar:,"Tramvay, sariq, yashil avtomobillar",False,"Tramvay va yashil avtomobil, sariq avtomobil",True,"Yashil, sariq avtomobillar, tramvay",False,,,,,True,334,"YHQ 16-bobi 105-bandiga asosan, teng ahamiyatga ega bo'lgan yo'llar kesishgan chorrahada relssiz transport vositasining haydovchisi o'ngdan yaqinlashib kelayotgan transport vositalariga yo'l berishi shart. Bu qoidaga tramvay haydovchilari ham oʻzaro amal qilishlari kerak. Bunday chorrahalarda, keyingi harakat yo'nalishidan qat'i nazar, tramvay relssiz transport vositalariga nisbatan oldin o'tish huquqiga ega bo'ladi."
335,Qaysi transport vositasining haydovchisiga belgida ko'rsatilgan tezlik bilan harakatlanishga ruxsat berilgan?,Har ikki haydovchiga,False,Faqat mikroavtobus haydovchisiga,True,Har ikkisiga taqiqlangan,False,,,,,True,335,"YHQ 11-bobi 80-bandi 1-xatboshiga asosan, har qanday yoʻllarda yukxonasida odam tashiyotgan yuk avtomobillariga tezlikni soatiga 60 kilometrdan oshirmasdan harakatlanishga ruxsat etiladi."
336,"Rulda o'rganuvchi boʻlsa, ushbu transport vositasiga qaysi tomonga harakatlanishga ruxsat beriladi?",Hamma tomonga,False,Faqat o'ngga,False,"O‘ngga, chapga va qayrilish",True,,,,,True,336,"YHQ 20-bobi 124-bandi 1-xatboshiga asosan, turar joy dahalarida mexanik transport vositasini boshqarishni o'rgatish taqiqlanadi."
337,Chorrahani kesib o'tishda tramvay yo'li bo'ylab harakatlanishga ruxsat etiladimi?,Taqiqlanadi,False,"Agar tramvayga to'sqinlik qilmasa, ruxsat etiladi",False,Yoʻl-yo'lakay yoʻnalishdagi tramvay yo'llari bo'ylab ruxsat etiladi,False,"Boshqa boʻlaklarda harakat serqatnov bo'lganda, aylanib o'tishda, ilgarilab ketishda, yo'l-yo'lakay yo'nalishdagi tramvay yoʻllari bo'ylab quvib o'tishga ruxsat etiladi. Bunda tramvayga halal bermaslik kerak",True,,,False,1,"YHQ 10-bobi 69-bandiga asosan, bir yoʻnalishdagi qatnov qismining chap tomonida u bilan bir sathda joylashgan tramvay izidan, shu yo'nalishda boshqa bo'laklar band boʻlganda harakatlanishga, shuningdek aylanib va quvib o'tishga, chapga burilish va qayrilib olishga, Qoidalarning 56-bandini hisobga olgan holda ruxsat etiladi. Biroq bu tramvayga xalaqit bermasligi kerak. Qarama-qarshi yo'nalishdagi tramvay izidan harakatlanish ta'qiqlanadi."
338,Yuk avtomobillarining avtomagistrallarda ikkinchi bo'lakdan nariroqda harakatlanishga ruxsat etiladimi?,"Ruxsat etiladi, ruxsat etilgan to'la vazni 3,5 tonnadan oshib ketmasa",True,"Ruxsat etiladi, ruxsat etilgan to'la vazni 3,5 tonnadan ortiq bo'lsa",False,Taqiqlanadi,False,,,,,False,1,"YHQ 19-boʻlimi 121-bandi 2-xatboshiga asosan, avtomagistrallarda quyidagilar taqiqlanadi: ruxsat etilgan to'la vazni 3,5 tonnadan ortiq bo'lgan yuk avtomobillarning birinchi va ikkinchi boʻlaklardan boshqa boʻlaklarda harakatlanishi"
339,Qattiq charchoq boshlanishining asosiy tashqi alomatlari qanday?,"Ko'z sanchib og'riydi, yuz terisi oqaradi, uyqu bosadi",True,"Yuz qizil tusga kiradi, qo'l-oyoqlar soviydi, ongi xiralashadi",False,"Mushaklarda horg'inlik seziladi, quloqlarda shovqin, bosh aylanadi, muzdek yopishqoq ter chiqadi",False,,,,,False,1,"Haydovchi toliqishining o'ziga xos alomatlariga uyqu kelishi, lanjlik va diqqatning pasayishi kiradi. Bu holatda transport vositasini boshqarish xavfli bo'lganligi bois, taqiqlangan."
340,Tashilayotgan yuk DYHX xizmatining ruxsatisiz transport vositasi oʻlchamlarining orqa nuqtasidan eng katta miqdorda qanday chiqib turishi mumkin?,"1,0 m",False,"1,5 m",False,"2,0 m",True,"2,5 m",False,"4,0 m",False,False,1,"YHQ 27-bobi 164-bandiga asosan, o'ta og'ir, katta o'lchamli va xavfli yuklarni tashish, gabarit oʻlchamlari yukli yoki yuksiz holda eni 2,55 (refrijeratorlar va izotermik kuzovlar uchun 2,6) metrdan va balandligi yo'l sathidan 4 metrdan, uzunligi bitta tirkama bilan 20 metrdan ortiq boʻlgan yoxud yuki transport vositasining orqa nuqtasidan 2 metrdan ortiq chiqib turgan transport vositalarining, ikki yoki undan ortiq tirkamali avtopoyezdlarning harakatlanishi uchun DYHX xizmati bilan o'rnatilgan tartibda kelishilgan ruxsatnomasi bo'lishi shart."
341,Transport vositalaridan foydalanish va texnik holatiga javobgar mansabdor shaxslarning majburiyatlari:,Belgilangan muddatda tibbiyot ko'rigidan o'tmagan shaxslarni transport vositalarini boshqarishiga yo'l qo'ymaslik,False,Texnik holati va jihozlari Qoida talablariga mos kelmaydigan transport vositalarini yo'lga chiqarmaslik,False,Belgilangan tartibda ro'yxatdan o'tkazilmagan transport vositalarini yo'lga chiqarmaslik,False,Barcha sanab oʻtilganlarni bajarishga,True,,,False,1,"YHQ 29-bobi 180-bandiga asosan, transport vositalarining texnik holatiga va ulardan foydalanishga javobgar boʻlgan mansabdor va boshqa shaxslarga quyidagilar taqiqlanadi: 2--xatboshi – texnik nosozligi tufayli foydalanish taqiqlangan, tegishli ruxsatsiz qayta jihozlangan, belgilangan tartibda ro'yxatdan o'tkazilmagan yoki davlat texnik koʻrigidan oʻtkazilmagan transport vositalarini yoʻlga chiqarish. Belgilangan muddatda tibbiy ko'rikdan o'tmagan, transport vositalari egalarining fuqarolik javobgarligini majburiy sug'urta qilish bo'yicha sug'urta polisi bo'lmagan shaxslarni transport vositalarini boshqarishga qo'yish."
342,Belgi va uning ostidagi qoʻshimcha axborot belgisi nima haqida ogohlantiradi?,Olib borilayotgan ishlar munosabati bilan yo'l chetida to'xtash taqiqlanadi,False,Yo'l yoqasida ta'mirlash ishlari olib borilayotganligi munosabati bilan unga chiqish xavfli,True,Yoʻlda ta'mirlash ishlari olib borilayotganda yo'l chetida toʻxtab turish taqiqlanadi,False,,,,,True,342,"YHQ 1-ilovaning 1-boʻlimidagi 1.23 'Yoʻl ishlari' belgi va 7-bo'limidagi 7.12 «Xavfli yo'l yoqasi» qo'shimcha belgisi yo'l yoqasida yoʻl ishlari olib borilayotganini, yo'ldan tashqariga chiqish xavfli ekanligini ko'rsatadi."
343,Har bir chiziq uzunligi ular orasidagi masofadan uch barobar katta bo'lgan uzuq-uzuq chiziq nimani bildiradi?,Tezlanish yoki tormozlash bo'lagi bilan qatnov qismidagi asosiy bo'lak o'rtasidagi chegarani,False,Avtomagistrallarda qatnov qismi chetlarini,False,Ro'paradan kelayotgan yoki shu yo'nalishda harakatlanayotgan transport oqimini ajratib turgan sidirg'a chiziqqa yaqinlashganlikn,True,,,,,True,343,YHQ 2-ilovasining 1-boʻlimidagi 1.6 yaqinlashish chizig'i (har bir chiziq uzunligi ular orasidagi masofadan uch barobar katta boʻlgan uzuq-uzuq chiziq) qarama-qarshi yoki bir yo'nalishda harakatlanayotgan transport vositalari oqimini ajratuvchi 1.1. yoki 1.11. chizig'iga yaqinlashayotganlik haqida ogohlantiradi.
344,Yo'l o'rtasidagi to'xtash joyida to'xtagan shu yo'nalishdagi tramvayga yaqinlashib qolgan haydovchi nima qilishi kerak?,"Toʻxtashi, tramvay eshiklari yopilgandan keyin harakatni davom ettirishi",False,Yo'l o'rtasidagi to'xtash joyida turgan shu yo'nalishdagi tramvayga kelayotgan yoki undan uzoqlashayotgan piyodalarga yo'l berishi,True,"To'xtashi, so'ng tramvay harakatlanganidan keyin harakatni davom ettirishi",False,Tramvay to'xtash joyidan nihoyatda ehtiyotkorlik bilan o'tishi,False,,,False,1,"YHQ 17-bobi 114-bandiga asosan, agar yo'lovchilarni tushirish yoki chiqarish qatnov qismida yoki unda joylashgan maydonchada amalga oshirilayotgan bo'lsa, haydovchilar bekatda to'xtagan belgilangan yo'nalishdagi transport vositasiga chiqish uchun borayotgan yoki undan kelavotaan pivodalaraa vo'l berishi kerak."
345,Qaysi transport vositasining haydovchisi harakatlanishda imtiyozga ega?,Avtomobil haydovchisi,False,Tramvay haydovchisi,True,,,,,,,True,345,"YHQ 15-bobi 101-bandiga asosan, agar svetofor yoki tartibga soluvchining ishoralari tramvay va relssiz transport vositalariga bir vaqtda harakatlanishga ruxsat bersa, harakatlanish yo'nalishidan qat'i nazar, tramvay oldin o'tish huquqiga ega bo'ladi."
346,"Transport vositasining haydovchisi, agar svetoforning ruxsat etuvchi chirog'i yoqilsa-yu, harakat yoʻnalishining qatnov qismidan oʻtishga ulgurmagan piyodalar bo'lsa, nima qilishi kerak?","Tezlikni kamaytirishi, tovush ishorasini berishi va eng kam tezlik bilan piyodalarning o'tish joyidan o'tishi",False,Tovush ishorasini berishi va tezlikni kamaytirmay piyodalarning o'tish joyidan o'tishi,False,Mazkur yo'nalishning qatnov qismidan piyodalarning oʻtib olishiga imkon berish,True,Ehtiyotkorlik choralariga rioya etgan holda piyodalarning o'tish joyidan o'tishi,False,,,False,1,"YHQ 15-bobi 103-bandiga asosan, svetoforning harakatlanishga ruxsat beruvchi ishorasi yonganda haydovchi chorraha orqali harakatlanishni tugallayotgan transport vositalari va qatnov qismidan tegishli yo'nalishda o'tishni tugallayotgan piyodalarga yo'l berishi shart."
347,"Aholi punktlarida ruxsat etilgan to'la vazni 3,5 tonnadan ziyod avtomobillarning harakatlanishiga qaysi bo'lakdan ruxsat etiladi?",lloji boricha qatnov qismi o'ng chetiga yaqin bo'lakdan,False,Boshqa bo'laklarda qatnov ko'p bo'lganda istalgan bo'lakdan,False,"Istalgan bo'lakdan, biroq, agar relssiz transport vositalarining harakati uchun bir yo'nalishda uchta va undan ortiq boʻlak bo'lsa, u holda chetki chap bo'lakka faqat chapga burilish, orqaga qayrilish uchun o'tishga va tushirish yoki ortish uchun bir tomonlama harakatga ruxsat etilgan ko'chalarda to'xtashga",True,,,,,False,1,"YHQ 10-bobi 67-bandiga asosan, bir yo'nalishda uch va undan ortiq boʻlakli har qanday yoʻllarda uchinchi qatorga quyidagi hollarda chiqish mumkin - harakatlanish serqatnovligi sababli boshqa bo'laklar band bo'lganida; quvib oʻtishi uchun; chapga burilish uchun; qayrilish uchun; ruxsat etilgan to'la vazn 3,5 tonnadan ortiq bo'lgan yuk avtomobillariga esa faqat chapga burilish yoki qayrilish uchun, 8-bo'limi 88-bandi 3-xatboshiga asosan, bir tomonlama harakatlanish joriy etilgan yoʻllarda ruxsat etilgan to'la vazni 3,5 tonnadan yuqori bo'lgan yuk avtomobillari yoʻlning chetki chap boʻlagiga yuk ortish yoki tushirish uchun chiqishlari mumkin. Boshqa sabablar bilan chetki chap bo'lakni band qilmasliklari kerak."
348,"Agar barcha transport vositalari 80 km/soat tezlik bilan harakat qilsa, haydovchilardan qay biri qoidalar talablarini buzadi?",Mototsikl va yuk avtomobilining haydovchilari,False,Mototsikl va yengil avtomobilning haydovchilari,False,Hamma haydovchilar,False,Mototsikl haydovchisi,False,Hech kim buzmadi,True,True,348,"YHQ 1-ilovasining 3-boʻlimi 3.24 belgi talabiga asosan, «Yuqori tezlik cheklangan» belgisi transport vositalarining yuqori tezligini cheklaydi. 11-bob 78-bandiga asosan, Qoraqalpog'iston Respublikasi Vazirlar Kengashi, Toshkent shaxar va viloyat hokimliklari, DYHXX bilan kelishilgan holda yo'l sharoitlari yuqori tezlikda xavfsiz harakatlanishni ta'minlagan hollarda yoʻllarning ayrim qismlari yoki harakatlanish bo'laklarida ayrim transport vositalariga harakatlanish tezligini oshirishga (tegishli yoʻl belgilarini o'rnatib) vakolatlidir."
349,Tormoz yoʻli deganda nima tushuniladi?,Haydovchiga xavf ma'lum boʻlgan vaqtdan boshlab avtomobilning to'liq to'xtagungacha bosib o'tgan masofasi,False,Tormoz tepkisi bosilgan vaqtdan boshlab avtomobilning to'liq to'xtagungacha bosib o'tgan masofa,True,,,,,,,False,1,Haydovchini tormoz pedaliga bosgandan boshlab avtomobilni to'xtaguncha bosib o'tgan yo'li “tormoz yo'li” deb ataladi.
350,Davlat YHX xizmatining ruxsatisiz transport vositasining yuk bilan yoki yuksiz qanday yuqori oʻlchamdagi balandlik bilan harakatlanishiga yo'l qo'yiladi?,"5,0 m",False,"4,5 m",False,"4,0 m",True,"2,5 m",False,"3,8 m",False,False,1,"YHQ 27-bobi 164-bandiga asosan, o'ta ogʻir, katta oʻlchamli va xavfli yuklarni tashish, gabarit o'lchamlari yukli yoki yuksiz holda eni 2,55 (refrijeratorlar va izotermik kuzovlar uchun 2,6) metrdan va balandligi yo'l sathidan 4 metrdan, uzunligi bitta tirkama bilan 20 metrdan ortiq bo'lgan yoxud yuki transport vositasining orqa nuqtasidan 2 metrdan ortiq chiqib turgan transport vositalarining, ikki yoki undan ortiq tirkamali avtopoyezdlarning harakatlanishi uchun YHX organlarining ruxsatnomasi bo'lishi shart."
351,Piyoda yalt-yalt etuvchi mayoqcha va maxsus tovushli ishoralarni yoqib kelayotgan transport vositasi yaqinlashib qolganda qanday yo'l tutishi kerak?,Mumkin qadar tezroq qatnov qismidan o'tib olishi,False,Qatnov qismidan o'tmasligi,True,"Agar piyodalar o'tish joyida bo'lsa, qatnov qismidan o'tishi",False,,,,,False,1,"YHQ 4-bobining 21-bandiga muvofiq, yalt-yalt etuvchi ko'k rangli yoki ko'k va qizil rangli chiroq-mayoqchasi va (yoki) maxsus tovush ishorasi yoqilgan transport vositalari yaqinlashib kelayotgan bo'lsa, piyodalar qatnov qismidan o'tmasliklari, unda harakatlanayotganlar esa bu transport vositalariga yo'l berishlari va zudlik bilan qatnov qismini bo'shatishlari kerak."
352,Belgilarning qaysi biri ogohlantiruvchi belgilar bilan qayd etilgan xavfli yo'l qismining uzunligini ko'rsatadi?,1,False,2,False,3,False,4,True,5,False,True,352,"YHQ Nº1-ilovasining 7-bo'limidagi 7.2.1 «Ta'sir oralig'i» qo'shimcha axborot belgisi ogohlantiruvchi belgilar bilan qoʻllansa, yoʻlning xavfli qismi qanchagacha davom etishini; taqiqlovchi belgilar bilan qo'llansa, cheklovlarning ta'sir oraligʻini; axborot-ishora belgilari bilan qoʻllansa, «5.15», «5.18> belgilarining ta'sir oralig'ini ko'rsatadi."
353,Bu yo'l chizig'i quyidagi maqsadni:,Trotuar yaqinidagi to'xtab turish joyida mexanik transport vositalarining qo'yish usullari ko'rsatilgan to'xtab turish joyini bildiradi,False,Mexanik transport vositalarining to'xtashi taqiqlangan joylarni bildiradi,False,Belgilangan yo'nalishdagi transport vositalarining to'xtash va taksining to'xtab turish joyini bildiradi,True,,,,,True,353,"YHQ 2-ilovasining 1-boʻlimidagi 1.17 chizig'i sariq rangdagi, arrasimon chiziq belgilangan yo'nalishli transport vositalari to'xtash joyi, hamda taksilarning toʻxtab turish joyini bildiradi."
354,Haydovchilardan qay biri birinchi bo'lib harakatlanish uchun imtiyozga ega?,Mototsikl haydovchisi,False,Avtomobil haydovchisi,True,,,,,,,True,354,"YHQ 16-bobi 105-bandiga muvofiq, teng ahamiyatga ega bo'lgan yoʻllar kesishgan chorrahada relssiz transport vositasining haydovchisi o'ngdan yaqinlashib kelayotgan transport vositalariga yo'l berishi shart. Bu qoidaga tramvay haydovchilari ham oʻzaro amal qilishlari kerak. Bunday chorrahalarda, keyingi harakat yo'nalishidan qat'i nazar, tramvay relssiz transport vositalariga nisbatan oldin o'tish huquqiga ega bo'ladi."
